Customer_ID,Customer_Name,Gender,City,Segment
CUST1000,Customer_0,Male,Bangalore,Corporate
CUST1001,Customer_1,Female,Hyderabad,Consumer
CUST1002,Customer_2,Male,Chennai,Home Office
CUST1003,Customer_3,Male,Bangalore,Consumer
CUST1004,Customer_4,Male,Delhi,Consumer
CUST1005,Customer_5,Female,Hyderabad,Consumer
CUST1006,Customer_6,Male,Chennai,Consumer
CUST1007,Customer_7,Male,Delhi,Home Office
CUST1008,Customer_8,Male,Delhi,Home Office
CUST1009,Customer_9,Female,Delhi,Corporate
CUST1010,Customer_10,Male,Delhi,Consumer
CUST1011,Customer_11,Male,Bangalore,Consumer
CUST1012,Customer_12,Male,Bangalore,Corporate
CUST1013,Customer_13,Male,Bangalore,Consumer
CUST1014,Customer_14,Female,Chennai,Corporate
CUST1015,Customer_15,Male,Chennai,Home Office
CUST1016,Customer_16,Female,Chennai,Corporate
CUST1017,Customer_17,Female,Mumbai,Consumer
CUST1018,Customer_18,Female,Chennai,Corporate
CUST1019,Customer_19,Male,Bangalore,Home Office
CUST1020,Customer_20,Female,Bangalore,Consumer
CUST1021,Customer_21,Male,Mumbai,Home Office
CUST1022,Customer_22,Female,Mumbai,Home Office
CUST1023,Customer_23,Female,Chennai,Corporate
CUST1024,Customer_24,Female,Hyderabad,Home Office
CUST1025,Customer_25,Female,Mumbai,Consumer
CUST1026,Customer_26,Female,Delhi,Home Office
CUST1027,Customer_27,Female,Bangalore,Home Office
CUST1028,Customer_28,Female,Delhi,Corporate
CUST1029,Customer_29,Female,Bangalore,Home Office
CUST1030,Customer_30,Male,Bangalore,Corporate
CUST1031,Customer_31,Male,Mumbai,Corporate
CUST1032,Customer_32,Female,Mumbai,Consumer
CUST1033,Customer_33,Female,Delhi,Consumer
CUST1034,Customer_34,Female,Bangalore,Consumer
CUST1035,Customer_35,Male,Delhi,Consumer
CUST1036,Customer_36,Female,Hyderabad,Corporate
CUST1037,Customer_37,Male,Delhi,Home Office
CUST1038,Customer_38,Male,Chennai,Consumer
CUST1039,Customer_39,Male,Delhi,Consumer
CUST1040,Customer_40,Male,Chennai,Consumer
CUST1041,Customer_41,Male,Chennai,Home Office
CUST1042,Customer_42,Female,Chennai,Consumer
CUST1043,Customer_43,Female,Hyderabad,Home Office
CUST1044,Customer_44,Female,Delhi,Corporate
CUST1045,Customer_45,Female,Delhi,Corporate
CUST1046,Customer_46,Female,Hyderabad,Corporate
CUST1047,Customer_47,Male,Bangalore,Home Office
CUST1048,Customer_48,Female,Mumbai,Consumer
CUST1049,Customer_49,Female,Delhi,Consumer
CUST1050,Customer_50,Male,Mumbai,Consumer
CUST1051,Customer_51,Female,Hyderabad,Consumer
CUST1052,Customer_52,Male,Bangalore,Consumer
CUST1053,Customer_53,Female,Bangalore,Home Office
CUST1054,Customer_54,Male,Bangalore,Corporate
CUST1055,Customer_55,Female,Hyderabad,Consumer
CUST1056,Customer_56,Female,Chennai,Corporate
CUST1057,Customer_57,Male,Chennai,Home Office
CUST1058,Customer_58,Male,Mumbai,Home Office
CUST1059,Customer_59,Male,Chennai,Consumer
CUST1060,Customer_60,Male,Chennai,Home Office
CUST1061,Customer_61,Male,Bangalore,Corporate
CUST1062,Customer_62,Male,Bangalore,Consumer
CUST1063,Customer_63,Male,Mumbai,Consumer
CUST1064,Customer_64,Male,Delhi,Corporate
CUST1065,Customer_65,Female,Mumbai,Consumer
CUST1066,Customer_66,Female,Mumbai,Consumer
CUST1067,Customer_67,Male,Hyderabad,Corporate
CUST1068,Customer_68,Female,Hyderabad,Consumer
CUST1069,Customer_69,Female,Mumbai,Consumer
CUST1070,Customer_70,Female,Mumbai,Corporate
CUST1071,Customer_71,Female,Mumbai,Home Office
CUST1072,Customer_72,Male,Chennai,Corporate
CUST1073,Customer_73,Female,Hyderabad,Consumer
CUST1074,Customer_74,Male,Mumbai,Corporate
CUST1075,Customer_75,Female,Bangalore,Consumer
CUST1076,Customer_76,Female,Bangalore,Consumer
CUST1077,Customer_77,Female,Chennai,Corporate
CUST1078,Customer_78,Male,Chennai,Consumer
CUST1079,Customer_79,Female,Delhi,Home Office
CUST1080,Customer_80,Male,Delhi,Consumer
CUST1081,Customer_81,Female,Delhi,Corporate
CUST1082,Customer_82,Male,Chennai,Home Office
CUST1083,Customer_83,Female,Chennai,Home Office
CUST1084,Customer_84,Male,Chennai,Consumer
CUST1085,Customer_85,Male,Bangalore,Corporate
CUST1086,Customer_86,Female,Chennai,Consumer
CUST1087,Customer_87,Male,Bangalore,Consumer
CUST1088,Customer_88,Female,Delhi,Corporate
CUST1089,Customer_89,Female,Delhi,Corporate
CUST1090,Customer_90,Female,Delhi,Consumer
CUST1091,Customer_91,Female,Mumbai,Home Office
CUST1092,Customer_92,Female,Mumbai,Consumer
CUST1093,Customer_93,Female,Hyderabad,Home Office
CUST1094,Customer_94,Female,Hyderabad,Consumer
CUST1095,Customer_95,Female,Hyderabad,Corporate
CUST1096,Customer_96,Female,Mumbai,Home Office
CUST1097,Customer_97,Female,Mumbai,Corporate
CUST1098,Customer_98,Female,Hyderabad,Corporate
CUST1099,Customer_99,Male,Hyderabad,Corporate
CUST1100,Customer_100,Male,Chennai,Corporate
CUST1101,Customer_101,Female,Hyderabad,Corporate
CUST1102,Customer_102,Female,Chennai,Consumer
CUST1103,Customer_103,Female,Bangalore,Home Office
CUST1104,Customer_104,Female,Mumbai,Consumer
CUST1105,Customer_105,Female,Hyderabad,Consumer
CUST1106,Customer_106,Female,Mumbai,Consumer
CUST1107,Customer_107,Female,Mumbai,Corporate
CUST1108,Customer_108,Female,Mumbai,Consumer
CUST1109,Customer_109,Male,Bangalore,Home Office
CUST1110,Customer_110,Female,Delhi,Consumer
CUST1111,Customer_111,Male,Hyderabad,Corporate
CUST1112,Customer_112,Female,Delhi,Home Office
CUST1113,Customer_113,Female,Delhi,Home Office
CUST1114,Customer_114,Male,Delhi,Home Office
CUST1115,Customer_115,Female,Mumbai,Home Office
CUST1116,Customer_116,Male,Chennai,Consumer
CUST1117,Customer_117,Female,Mumbai,Corporate
CUST1118,Customer_118,Female,Mumbai,Home Office
CUST1119,Customer_119,Male,Delhi,Home Office
CUST1120,Customer_120,Female,Mumbai,Corporate
CUST1121,Customer_121,Male,Delhi,Consumer
CUST1122,Customer_122,Female,Chennai,Home Office
CUST1123,Customer_123,Male,Hyderabad,Consumer
CUST1124,Customer_124,Male,Delhi,Consumer
CUST1125,Customer_125,Female,Chennai,Consumer
CUST1126,Customer_126,Female,Hyderabad,Consumer
CUST1127,Customer_127,Male,Bangalore,Home Office
CUST1128,Customer_128,Female,Delhi,Home Office
CUST1129,Customer_129,Female,Delhi,Consumer
CUST1130,Customer_130,Female,Bangalore,Consumer
CUST1131,Customer_131,Male,Bangalore,Corporate
CUST1132,Customer_132,Male,Delhi,Corporate
CUST1133,Customer_133,Male,Bangalore,Corporate
CUST1134,Customer_134,Male,Mumbai,Home Office
CUST1135,Customer_135,Male,Hyderabad,Corporate
CUST1136,Customer_136,Male,Hyderabad,Home Office
CUST1137,Customer_137,Male,Hyderabad,Home Office
CUST1138,Customer_138,Male,Mumbai,Home Office
CUST1139,Customer_139,Male,Bangalore,Home Office
CUST1140,Customer_140,Female,Chennai,Corporate
CUST1141,Customer_141,Male,Bangalore,Consumer
CUST1142,Customer_142,Female,Delhi,Consumer
CUST1143,Customer_143,Female,Hyderabad,Consumer
CUST1144,Customer_144,Female,Bangalore,Corporate
CUST1145,Customer_145,Male,Chennai,Consumer
CUST1146,Customer_146,Male,Delhi,Corporate
CUST1147,Customer_147,Male,Mumbai,Corporate
CUST1148,Customer_148,Male,Mumbai,Corporate
CUST1149,Customer_149,Female,Chennai,Consumer
CUST1150,Customer_150,Male,Delhi,Consumer
CUST1151,Customer_151,Male,Hyderabad,Consumer
CUST1152,Customer_152,Male,Bangalore,Home Office
CUST1153,Customer_153,Male,Delhi,Corporate
CUST1154,Customer_154,Male,Mumbai,Home Office
CUST1155,Customer_155,Female,Chennai,Corporate
CUST1156,Customer_156,Male,Chennai,Consumer
CUST1157,Customer_157,Female,Bangalore,Corporate
CUST1158,Customer_158,Male,Chennai,Corporate
CUST1159,Customer_159,Female,Chennai,Home Office
CUST1160,Customer_160,Male,Delhi,Corporate
CUST1161,Customer_161,Male,Hyderabad,Consumer
CUST1162,Customer_162,Female,Bangalore,Corporate
